OBJECTID,REPORTNO,STATUS,ADDRTYPE,LOCATION,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR,LOCATION_PROCESSED
250,REPORT250,STATUS1,ADDRTYPE3,"19049 Howell Land Apt. 857
Meadowschester, WI 23137",Parked Car,1.0,1.0,0.0,2.0,3,1,0,2023-04-25,2023-10-12 03:25:08,Clear,Unknown,Other,N,N,"19049 Howell Land Apt . 857 Meadowschester , WI 23137"
251,REPORT251,STATUS1,ADDRTYPE2,"3744 Watson Isle Suite 306
Richardland, CA 10060",Left Turn,4.0,2.0,1.0,2.0,1,1,1,2023-03-21,2023-12-19 03:25:08,Clear,Other,Unknown,Y,Y,"3744 Watson Isle Suite 306 Richardland , CA 10060"
252,REPORT252,STATUS1,ADDRTYPE1,"948 Alison Stream Apt. 569
Port Tammyton, HI 20615",Angles,1.0,0.0,0.0,2.0,3,0,1,2023-11-14,2023-11-13 03:25:08,Unknown,Standing Water,Daylight,N,N,"948 Alison Stream Apt . 569 Port Tammyton , HI 20615"
253,REPORT253,STATUS2,ADDRTYPE3,"68303 Huerta Burg
Dixonfurt, IA 72937",Cycles,1.0,0.0,0.0,1.0,3,1,0,2023-11-13,2023-04-15 03:25:08,Clear,Ice,Dawn,N,Y,"68303 Huerta Burg Dixonfurt , IA 72937"
254,REPORT254,STATUS1,ADDRTYPE1,"8715 Martin Hills Suite 051
Susanborough, IL 78655",Cycles,2.0,1.0,0.0,2.0,2,1,0,2023-02-24,2024-02-04 03:25:08,Raining,Ice,Other,Y,N,"8715 Martin Hills Suite 051 Susanborough , IL 78655"
255,REPORT255,STATUS3,ADDRTYPE2,"5246 Bowman Crossroad
Vincentside, GU 70782",Left Turn,4.0,1.0,1.0,3.0,0,0,1,2023-07-06,2023-05-21 03:25:08,Clear,Snow/Slush,Other,N,N,"5246 Bowman Crossroad Vincentside , GU 70782"
256,REPORT256,STATUS1,ADDRTYPE3,"877 Wells Canyon Suite 820
New Brooke, MD 55555",Parked Car,4.0,0.0,1.0,1.0,3,0,1,2023-12-31,2024-02-08 03:25:08,Overcast,Ice,Dawn,Y,Y,"877 Wells Canyon Suite 820 New Brooke , MD 55555"
257,REPORT257,STATUS2,ADDRTYPE1,"9045 King Pike Suite 244
Johnshire, UT 84216",Parked Car,1.0,0.0,0.0,2.0,1,1,0,2024-01-12,2023-05-30 03:25:08,Sleet/Hail/Freezing Rain,Unknown,Unknown,Y,N,"9045 King Pike Suite 244 Johnshire , UT 84216"
258,REPORT258,STATUS3,ADDRTYPE1,"5447 Vance Extension Apt. 198
Port Patrick, SC 45915",Parked Car,4.0,2.0,0.0,2.0,1,0,1,2023-05-16,2023-06-02 03:25:08,Overcast,Snow/Slush,Dark - No Street Lights,Y,Y,"5447 Vance Extension Apt . 198 Port Patrick , SC 45915"
259,REPORT259,STATUS2,ADDRTYPE2,"84585 Lynch Port Apt. 856
South Jennifer, IL 17747",Pedestrian,2.0,0.0,1.0,1.0,2,1,0,2023-04-09,2023-12-03 03:25:08,Snowing,Snow/Slush,Dark - No Street Lights,Y,Y,"84585 Lynch Port Apt . 856 South Jennifer , IL 17747"
260,REPORT260,STATUS1,ADDRTYPE2,"682 King Cliffs Suite 700
Port Annamouth, MI 96428",Rear Ended,2.0,1.0,0.0,1.0,3,1,0,2023-08-28,2023-11-01 03:25:08,Clear,Sand/Mud/Dirt,Dark - Street Lights On,Y,Y,"682 King Cliffs Suite 700 Port Annamouth , MI 96428"
261,REPORT261,STATUS3,ADDRTYPE2,"671 Cameron Circles Suite 645
East Matthew, ME 29071",Angles,3.0,0.0,1.0,3.0,1,0,1,2023-09-18,2023-08-17 03:25:08,Other,Snow/Slush,Other,Y,Y,"671 Cameron Circles Suite 645 East Matthew , ME 29071"
262,REPORT262,STATUS1,ADDRTYPE3,"337 Brandon Coves
Port Justinmouth, ME 14462",Parked Car,2.0,0.0,0.0,2.0,1,0,1,2023-06-22,2023-12-23 03:25:08,Other,Wet,Other,N,N,"337 Brandon Coves Port Justinmouth , ME 14462"
263,REPORT263,STATUS3,ADDRTYPE3,"876 Parker Pike
East Crystalfort, MD 94764",Sideswipe,3.0,2.0,0.0,2.0,0,0,1,2023-11-08,2023-10-31 03:25:08,Severe Crosswind,Sand/Mud/Dirt,Dusk,N,Y,"876 Parker Pike East Crystalfort , MD 94764"
264,REPORT264,STATUS3,ADDRTYPE2,"00140 Pamela Gardens
Oneillbury, CT 33178",Parked Car,1.0,1.0,1.0,3.0,3,0,0,2023-05-22,2024-02-04 03:25:08,Unknown,Other,Unknown,Y,Y,"00140 Pamela Gardens Oneillbury , CT 33178"
265,REPORT265,STATUS3,ADDRTYPE3,"19610 Diane Manor
North Johnhaven, MD 65266",Parked Car,3.0,2.0,1.0,2.0,0,1,1,2023-12-03,2023-09-05 03:25:08,Snowing,Other,Dusk,N,Y,"19610 Diane Manor North Johnhaven , MD 65266"
266,REPORT266,STATUS2,ADDRTYPE1,"PSC 9571, Box 0686
APO AE 60473",Left Turn,3.0,1.0,1.0,3.0,0,1,0,2024-01-28,2023-12-11 03:25:08,Overcast,Other,Unknown,N,N,"PSC 9571 , Box 0686 APO AE 60473"
267,REPORT267,STATUS1,ADDRTYPE2,"2083 Chelsea Drives Suite 104
Bullockburgh, IN 06952",Other,1.0,1.0,0.0,1.0,3,0,0,2023-12-16,2023-10-30 03:25:08,,,,Y,Y,"2083 Chelsea Drives Suite 104 Bullockburgh , IN 06952"
268,REPORT268,STATUS2,ADDRTYPE3,"341 Arias Island
West Michael, DE 77312",Left Turn,3.0,1.0,0.0,3.0,0,1,1,2023-11-13,2024-01-08 03:25:08,Fog/Smog/Smoke,Sand/Mud/Dirt,Dusk,Y,N,"341 Arias Island West Michael , DE 77312"
269,REPORT269,STATUS2,ADDRTYPE3,"819 Sanders Common
Nguyenton, AR 05413",Sideswipe,2.0,1.0,1.0,1.0,3,1,0,2023-07-20,2023-03-02 03:25:08,Sleet/Hail/Freezing Rain,Unknown,Dark - Street Lights On,N,N,"819 Sanders Common Nguyenton , AR 05413"
270,REPORT270,STATUS1,ADDRTYPE2,"5718 Maureen Prairie
South Michelle, TN 12415",Angles,1.0,1.0,1.0,3.0,3,1,0,2023-05-14,2023-12-17 03:25:08,Raining,Dry,Dark - Street Lights On,N,N,"5718 Maureen Prairie South Michelle , TN 12415"
271,REPORT271,STATUS1,ADDRTYPE2,"USCGC Guzman
FPO AA 10813",Sideswipe,4.0,0.0,0.0,1.0,3,1,1,2023-02-20,2023-10-05 03:25:08,Raining,Standing Water,Dark - Street Lights Off,Y,N,USCGC Guzman FPO AA 10813
272,REPORT272,STATUS1,ADDRTYPE3,"3944 Denise Roads Suite 336
Angelaton, KS 21874",Other,3.0,0.0,0.0,1.0,0,0,1,2023-10-13,2023-10-02 03:25:08,Raining,Unknown,Dawn,N,N,"3944 Denise Roads Suite 336 Angelaton , KS 21874"
273,REPORT273,STATUS3,ADDRTYPE3,"79537 Amanda Ports
Cannonfurt, MA 49526",Sideswipe,2.0,2.0,1.0,3.0,3,0,1,2023-05-09,2023-06-18 03:25:08,,,,N,N,"79537 Amanda Ports Cannonfurt , MA 49526"
274,REPORT274,STATUS2,ADDRTYPE2,"1571 Carol Streets
Lake Deannaburgh, VI 85340",Parked Car,4.0,0.0,0.0,3.0,3,0,1,2023-08-26,2023-11-09 03:25:08,Blowing Sand/Dirt,Ice,Dusk,Y,N,"1571 Carol Streets Lake Deannaburgh , VI 85340"
275,REPORT275,STATUS2,ADDRTYPE3,"PSC 8201, Box 8834
APO AE 16516",Sideswipe,1.0,2.0,0.0,3.0,1,1,0,2023-08-16,2024-01-03 03:25:08,Unknown,Standing Water,Dusk,Y,N,"PSC 8201 , Box 8834 APO AE 16516"
276,REPORT276,STATUS2,ADDRTYPE1,"0648 Sosa Islands
East Tracytown, OK 43326",Angles,1.0,1.0,0.0,3.0,0,0,1,2023-07-05,2023-08-25 03:25:08,Sleet/Hail/Freezing Rain,Other,Dawn,N,Y,"0648 Sosa Islands East Tracytown , OK 43326"
277,REPORT277,STATUS2,ADDRTYPE3,"096 Dean Ridge
Lake Lydia, ID 14621",Parked Car,1.0,0.0,0.0,1.0,0,0,0,2023-04-03,2023-02-22 03:25:08,Other,Snow/Slush,Unknown,N,Y,"096 Dean Ridge Lake Lydia , ID 14621"
278,REPORT278,STATUS2,ADDRTYPE1,"020 Scott Island Apt. 974
South Trevormouth, NC 81341",Parked Car,2.0,1.0,0.0,2.0,3,1,0,2023-12-21,2023-05-13 03:25:08,Unknown,Ice,Dawn,N,N,"020 Scott Island Apt . 974 South Trevormouth , NC 81341"
279,REPORT279,STATUS3,ADDRTYPE1,"4189 Campbell Corner Apt. 783
Port Marissa, VA 54112",Parked Car,4.0,2.0,1.0,3.0,1,0,1,2023-07-11,2023-03-23 03:25:08,Sleet/Hail/Freezing Rain,Other,Dark - No Street Lights,N,N,"4189 Campbell Corner Apt . 783 Port Marissa , VA 54112"
280,REPORT280,STATUS1,ADDRTYPE3,"037 Contreras Burgs Apt. 068
New Robertside, OK 77960",Left Turn,1.0,0.0,0.0,3.0,1,0,0,2024-01-16,2023-09-22 03:25:08,Snowing,Oil,Other,Y,N,"037 Contreras Burgs Apt . 068 New Robertside , OK 77960"
281,REPORT281,STATUS3,ADDRTYPE3,"424 Katherine Orchard
Garyton, MA 70214",Rear Ended,2.0,0.0,0.0,3.0,2,1,0,2023-06-17,2023-06-25 03:25:08,Other,Oil,Dawn,N,Y,"424 Katherine Orchard Garyton , MA 70214"
282,REPORT282,STATUS3,ADDRTYPE2,"349 Miller Circle Suite 390
Manningtown, AS 14485",Rear Ended,5.0,2.0,0.0,3.0,2,1,1,2023-07-20,2023-06-11 03:25:08,Blowing Sand/Dirt,Snow/Slush,Unknown,Y,Y,"349 Miller Circle Suite 390 Manningtown , AS 14485"
283,REPORT283,STATUS3,ADDRTYPE1,"Unit 9937 Box 1298
DPO AA 23085",Angles,2.0,0.0,0.0,2.0,1,1,1,2023-05-27,2023-07-11 03:25:08,Snowing,Wet,Dark - No Street Lights,N,Y,Unit 9937 Box 1298 DPO AA 23085
284,REPORT284,STATUS1,ADDRTYPE3,"48013 Diane Center Suite 194
West Roberto, NC 62963",Rear Ended,5.0,2.0,1.0,2.0,0,1,1,2023-06-07,2023-06-02 03:25:08,Unknown,Oil,Dark - Street Lights Off,Y,N,"48013 Diane Center Suite 194 West Roberto , NC 62963"
285,REPORT285,STATUS1,ADDRTYPE1,"5968 Aaron Extensions Suite 013
Micheleton, PR 52108",Sideswipe,4.0,2.0,1.0,3.0,0,1,1,2024-02-08,2023-07-30 03:25:08,Blowing Sand/Dirt,Ice,Dark - No Street Lights,Y,N,"5968 Aaron Extensions Suite 013 Micheleton , PR 52108"
286,REPORT286,STATUS2,ADDRTYPE2,"2810 Vanessa Fort Suite 791
Guzmanborough, UT 25241",Other,1.0,0.0,1.0,2.0,3,1,0,2023-11-26,2023-11-13 03:25:08,,,,N,N,"2810 Vanessa Fort Suite 791 Guzmanborough , UT 25241"
287,REPORT287,STATUS3,ADDRTYPE1,"40299 Medina Parkway
Langstad, GA 41664",Pedestrian,1.0,0.0,1.0,2.0,2,1,0,2023-04-19,2023-10-14 03:25:08,Other,Ice,Daylight,N,N,"40299 Medina Parkway Langstad , GA 41664"
288,REPORT288,STATUS2,ADDRTYPE3,"046 Michael Camp Suite 538
Edwardhaven, PR 16781",Rear Ended,3.0,2.0,1.0,3.0,1,0,0,2023-10-02,2023-11-23 03:25:08,Blowing Sand/Dirt,Sand/Mud/Dirt,Dark - Street Lights Off,N,Y,"046 Michael Camp Suite 538 Edwardhaven , PR 16781"
289,REPORT289,STATUS1,ADDRTYPE3,"59703 Potter Greens
East Wesley, PA 37405",Cycles,1.0,1.0,0.0,3.0,3,0,1,2023-02-28,2023-11-10 03:25:08,Blowing Sand/Dirt,Snow/Slush,Daylight,Y,Y,"59703 Potter Greens East Wesley , PA 37405"
290,REPORT290,STATUS1,ADDRTYPE1,"236 Kenneth Ridges Apt. 689
Port Davidmouth, AL 42519",Sideswipe,4.0,1.0,0.0,3.0,0,0,0,2023-12-15,2023-03-05 03:25:08,Raining,Dry,Dusk,Y,Y,"236 Kenneth Ridges Apt . 689 Port Davidmouth , AL 42519"
291,REPORT291,STATUS1,ADDRTYPE2,"8774 Kyle Mills Apt. 211
North Mariaburgh, NY 10463",Sideswipe,2.0,0.0,0.0,2.0,3,0,1,2023-09-24,2023-09-29 03:25:08,Clear,Wet,Unknown,N,Y,"8774 Kyle Mills Apt . 211 North Mariaburgh , NY 10463"
292,REPORT292,STATUS1,ADDRTYPE1,"3419 Richard Street Suite 192
Banksshire, ND 98316",Cycles,4.0,0.0,0.0,1.0,3,1,1,2024-01-27,2023-08-02 03:25:08,Other,Oil,Daylight,Y,N,"3419 Richard Street Suite 192 Banksshire , ND 98316"
293,REPORT293,STATUS3,ADDRTYPE3,"26734 Yoder Inlet Suite 980
Phillipstad, GU 52089",Other,1.0,1.0,1.0,3.0,1,0,0,2023-05-06,2023-12-29 03:25:08,Fog/Smog/Smoke,Unknown,Unknown,N,N,"26734 Yoder Inlet Suite 980 Phillipstad , GU 52089"
294,REPORT294,STATUS2,ADDRTYPE2,"88747 Johnson Overpass
West David, AL 00696",Pedestrian,2.0,2.0,1.0,3.0,3,1,0,2024-01-19,2023-04-27 03:25:08,Severe Crosswind,Sand/Mud/Dirt,Daylight,N,N,"88747 Johnson Overpass West David , AL 00696"
295,REPORT295,STATUS1,ADDRTYPE1,"280 Cameron Hills
East Joshuaborough, MT 11280",Sideswipe,4.0,2.0,1.0,2.0,1,0,0,2023-03-01,2023-04-25 03:25:08,Sleet/Hail/Freezing Rain,Unknown,Dusk,Y,Y,"280 Cameron Hills East Joshuaborough , MT 11280"
296,REPORT296,STATUS2,ADDRTYPE1,"8119 Tucker Union Suite 320
Davidside, AK 03006",Cycles,1.0,1.0,1.0,3.0,2,0,0,2023-11-14,2023-09-13 03:25:08,Snowing,Sand/Mud/Dirt,Unknown,N,Y,"8119 Tucker Union Suite 320 Davidside , AK 03006"
297,REPORT297,STATUS1,ADDRTYPE2,"048 Gibson Heights
East Jaredburgh, VA 96714",Angles,1.0,0.0,0.0,3.0,3,1,0,2023-07-31,2023-11-27 03:25:08,Raining,Other,Dark - Street Lights Off,Y,Y,"048 Gibson Heights East Jaredburgh , VA 96714"
298,REPORT298,STATUS2,ADDRTYPE1,"124 Hernandez Lakes Suite 499
New Meghanmouth, CT 40521",Rear Ended,1.0,0.0,0.0,3.0,0,0,1,2023-06-11,2023-11-06 03:25:08,Unknown,Other,Dark - No Street Lights,N,N,"124 Hernandez Lakes Suite 499 New Meghanmouth , CT 40521"
299,REPORT299,STATUS2,ADDRTYPE2,"9617 Young Park
Ramseyburgh, ND 87363",Parked Car,3.0,0.0,1.0,2.0,0,0,0,2023-03-06,2023-06-15 03:25:08,Overcast,Standing Water,Daylight,N,Y,"9617 Young Park Ramseyburgh , ND 87363"
300,REPORT300,STATUS1,ADDRTYPE2,"076 Veronica Village
Frankborough, SD 52236",Cycles,3.0,1.0,1.0,2.0,3,0,1,2023-05-23,2023-07-13 03:25:08,Blowing Sand/Dirt,Dry,Other,N,Y,"076 Veronica Village Frankborough , SD 52236"
301,REPORT301,STATUS1,ADDRTYPE2,"315 Campbell Port
Allisonberg, AZ 02012",Pedestrian,3.0,1.0,0.0,1.0,2,1,0,2023-06-02,2023-07-06 03:25:08,Unknown,Other,Other,Y,Y,"315 Campbell Port Allisonberg , AZ 02012"
302,REPORT302,STATUS2,ADDRTYPE2,"Unit 4658 Box 9305
DPO AP 12303",Cycles,2.0,1.0,1.0,3.0,0,1,0,2024-01-12,2023-07-18 03:25:08,Snowing,Wet,Dark - No Street Lights,Y,N,Unit 4658 Box 9305 DPO AP 12303
303,REPORT303,STATUS3,ADDRTYPE1,"7823 Hall Harbor
Jasonberg, IL 23033",Cycles,4.0,2.0,0.0,1.0,2,1,0,2023-11-27,2023-04-20 03:25:08,,,,N,Y,"7823 Hall Harbor Jasonberg , IL 23033"
304,REPORT304,STATUS1,ADDRTYPE1,"7844 Sanchez Brook Apt. 447
Lisashire, CT 65040",Other,2.0,2.0,1.0,3.0,3,1,1,2023-07-10,2023-10-03 03:25:08,Unknown,Dry,Dark - Street Lights Off,N,N,"7844 Sanchez Brook Apt . 447 Lisashire , CT 65040"
305,REPORT305,STATUS1,ADDRTYPE3,"Unit 8281 Box 4104
DPO AE 05865",Left Turn,2.0,2.0,0.0,2.0,2,1,0,2023-06-04,2023-09-09 03:25:08,Raining,Unknown,Other,N,Y,Unit 8281 Box 4104 DPO AE 05865
306,REPORT306,STATUS3,ADDRTYPE2,"2061 Kevin Shores
South Amandaside, AL 22612",Parked Car,1.0,2.0,0.0,1.0,1,1,1,2023-08-07,2023-04-07 03:25:08,Other,Standing Water,Dusk,Y,N,"2061 Kevin Shores South Amandaside , AL 22612"
307,REPORT307,STATUS3,ADDRTYPE3,"9779 Moreno Branch
Smithtown, CA 33140",Left Turn,5.0,1.0,1.0,1.0,0,1,1,2023-05-08,2023-12-26 03:25:08,,,,N,N,"9779 Moreno Branch Smithtown , CA 33140"
308,REPORT308,STATUS1,ADDRTYPE3,"1166 Victor Viaduct Suite 519
Andersonport, IL 11907",Left Turn,5.0,1.0,1.0,1.0,2,1,0,2023-08-04,2023-04-15 03:25:08,Clear,Other,Dawn,N,Y,"1166 Victor Viaduct Suite 519 Andersonport , IL 11907"
309,REPORT309,STATUS1,ADDRTYPE1,"551 Nichols Brook
Port Crystalville, AR 02534",Left Turn,1.0,2.0,0.0,1.0,0,0,0,2023-07-29,2023-08-07 03:25:08,Unknown,Other,Other,Y,Y,"551 Nichols Brook Port Crystalville , AR 02534"
310,REPORT310,STATUS1,ADDRTYPE1,"Unit 6839 Box 6532
DPO AE 65701",Pedestrian,5.0,0.0,1.0,2.0,2,0,0,2023-04-15,2023-07-15 03:25:08,Sleet/Hail/Freezing Rain,Wet,Dark - Street Lights On,Y,Y,Unit 6839 Box 6532 DPO AE 65701
311,REPORT311,STATUS1,ADDRTYPE1,"0331 Kristina Mount
Montgomerytown, MH 14644",Parked Car,2.0,1.0,1.0,3.0,0,0,0,2023-10-03,2023-11-09 03:25:08,Sleet/Hail/Freezing Rain,Unknown,Dawn,N,Y,"0331 Kristina Mount Montgomerytown , MH 14644"
312,REPORT312,STATUS2,ADDRTYPE1,"198 Christopher Valley
North Mitchellshire, PR 82054",Left Turn,4.0,1.0,1.0,1.0,0,0,1,2023-11-06,2023-05-05 03:25:08,Raining,Other,Dark - No Street Lights,N,Y,"198 Christopher Valley North Mitchellshire , PR 82054"
313,REPORT313,STATUS2,ADDRTYPE3,"020 Bryan Terrace
East Johnmouth, CO 26717",Angles,3.0,1.0,1.0,3.0,3,0,0,2023-11-17,2023-08-23 03:25:08,Clear,Snow/Slush,Dark - No Street Lights,N,N,"020 Bryan Terrace East Johnmouth , CO 26717"
314,REPORT314,STATUS2,ADDRTYPE2,"576 Cabrera Mount
South Samuel, CA 83752",Left Turn,2.0,0.0,1.0,1.0,2,0,0,2024-02-18,2023-08-12 03:25:08,Sleet/Hail/Freezing Rain,Unknown,Unknown,Y,N,"576 Cabrera Mount South Samuel , CA 83752"
315,REPORT315,STATUS1,ADDRTYPE3,"7120 Kevin Estate
South Katiefort, IL 57811",Other,2.0,0.0,0.0,3.0,3,0,1,2023-11-30,2023-04-02 03:25:08,Clear,Sand/Mud/Dirt,Dawn,Y,Y,"7120 Kevin Estate South Katiefort , IL 57811"
316,REPORT316,STATUS2,ADDRTYPE3,"USCGC Carter
FPO AP 48218",Cycles,4.0,1.0,1.0,2.0,0,0,1,2023-05-03,2024-01-18 03:25:08,Snowing,Oil,Dark - No Street Lights,N,Y,USCGC Carter FPO AP 48218
317,REPORT317,STATUS1,ADDRTYPE1,"701 Michael Lake Apt. 741
Davismouth, GU 00697",Angles,5.0,0.0,1.0,2.0,2,0,1,2023-10-31,2023-07-04 03:25:08,Snowing,Unknown,Other,Y,N,"701 Michael Lake Apt . 741 Davismouth , GU 00697"
318,REPORT318,STATUS1,ADDRTYPE2,"141 Jessica Square Apt. 059
Lake Calvinview, MH 91424",Sideswipe,4.0,0.0,1.0,1.0,2,0,0,2023-04-22,2023-11-26 03:25:08,Severe Crosswind,Dry,Other,N,Y,"141 Jessica Square Apt . 059 Lake Calvinview , MH 91424"
319,REPORT319,STATUS2,ADDRTYPE3,"Unit 0031 Box 8698
DPO AP 79363",Cycles,2.0,0.0,0.0,2.0,1,1,0,2023-02-28,2024-02-02 03:25:08,Fog/Smog/Smoke,Sand/Mud/Dirt,Dark - Street Lights On,N,N,Unit 0031 Box 8698 DPO AP 79363
320,REPORT320,STATUS1,ADDRTYPE1,"2115 Hall Harbors Suite 315
East Stevenbury, FL 59338",Other,1.0,2.0,1.0,2.0,0,0,0,2024-02-15,2023-06-03 03:25:08,Snowing,Sand/Mud/Dirt,Dark - No Street Lights,N,Y,"2115 Hall Harbors Suite 315 East Stevenbury , FL 59338"
321,REPORT321,STATUS2,ADDRTYPE1,"63443 Brett Cliff Suite 021
Snyderview, WY 46430",Parked Car,1.0,0.0,0.0,3.0,1,0,1,2023-06-02,2023-10-13 03:25:08,Raining,Standing Water,Dawn,N,Y,"63443 Brett Cliff Suite 021 Snyderview , WY 46430"
322,REPORT322,STATUS2,ADDRTYPE2,"72906 Cynthia Summit Suite 730
New Josephmouth, NE 82947",Angles,2.0,0.0,1.0,3.0,1,1,0,2023-07-01,2023-04-25 03:25:08,Clear,Standing Water,Dark - Street Lights On,N,N,"72906 Cynthia Summit Suite 730 New Josephmouth , NE 82947"
323,REPORT323,STATUS2,ADDRTYPE3,"74387 Jason Pike Apt. 187
New Davidport, ID 20030",Rear Ended,1.0,2.0,0.0,1.0,2,0,0,2023-06-07,2023-07-25 03:25:08,Snowing,Sand/Mud/Dirt,Dark - No Street Lights,Y,N,"74387 Jason Pike Apt . 187 New Davidport , ID 20030"
324,REPORT324,STATUS2,ADDRTYPE2,"USS Andersen
FPO AP 57234",Sideswipe,5.0,0.0,1.0,1.0,1,0,1,2023-02-22,2023-09-22 03:25:08,,,,Y,N,USS Andersen FPO AP 57234
325,REPORT325,STATUS2,ADDRTYPE2,"178 Mcdaniel Loaf
Katelynmouth, MN 91464",Pedestrian,4.0,2.0,0.0,3.0,0,1,0,2023-05-27,2023-04-16 03:25:08,Fog/Smog/Smoke,Snow/Slush,Daylight,N,N,"178 Mcdaniel Loaf Katelynmouth , MN 91464"
326,REPORT326,STATUS3,ADDRTYPE2,"6107 Mccullough Ford
Stephanieborough, HI 44934",Pedestrian,3.0,2.0,0.0,1.0,3,1,0,2023-10-10,2023-03-26 03:25:08,Sleet/Hail/Freezing Rain,Other,Unknown,Y,N,"6107 Mccullough Ford Stephanieborough , HI 44934"
327,REPORT327,STATUS3,ADDRTYPE3,"USNS Smith
FPO AA 69040",Other,4.0,0.0,1.0,3.0,1,0,0,2023-09-17,2023-05-24 03:25:08,Clear,Other,Dark - Street Lights On,Y,N,USNS Smith FPO AA 69040
328,REPORT328,STATUS3,ADDRTYPE1,"858 Lisa Rapid Apt. 344
Mcgrathmouth, GA 23481",Parked Car,3.0,0.0,1.0,2.0,1,1,0,2023-10-30,2023-08-23 03:25:08,Fog/Smog/Smoke,Sand/Mud/Dirt,Dusk,Y,N,"858 Lisa Rapid Apt . 344 Mcgrathmouth , GA 23481"
329,REPORT329,STATUS3,ADDRTYPE2,"8507 Mark Park
East Robert, MS 33752",Left Turn,2.0,1.0,1.0,2.0,2,1,1,2023-09-21,2023-07-31 03:25:08,Fog/Smog/Smoke,Standing Water,Other,N,Y,"8507 Mark Park East Robert , MS 33752"
330,REPORT330,STATUS3,ADDRTYPE2,"6481 Breanna Shore
East Jameshaven, NJ 15779",Left Turn,2.0,2.0,0.0,1.0,2,0,0,2023-02-22,2024-02-04 03:25:08,Sleet/Hail/Freezing Rain,Snow/Slush,Dark - Street Lights On,N,N,"6481 Breanna Shore East Jameshaven , NJ 15779"
331,REPORT331,STATUS2,ADDRTYPE3,"6207 Riggs Summit Apt. 066
Adrianchester, AS 49207",Other,3.0,2.0,1.0,2.0,2,0,0,2023-10-05,2023-12-23 03:25:08,Clear,Dry,Dark - Street Lights On,Y,Y,"6207 Riggs Summit Apt . 066 Adrianchester , AS 49207"
332,REPORT332,STATUS1,ADDRTYPE3,"812 Jensen Way
West Brian, IL 43597",Parked Car,1.0,0.0,0.0,2.0,3,0,1,2023-05-13,2023-11-19 03:25:08,Unknown,Ice,Dawn,N,Y,"812 Jensen Way West Brian , IL 43597"
333,REPORT333,STATUS1,ADDRTYPE1,"240 Alexander Shoal
Jonesville, MH 20914",Cycles,2.0,1.0,1.0,3.0,2,0,0,2023-12-21,2023-09-07 03:25:08,Unknown,Oil,Unknown,Y,Y,"240 Alexander Shoal Jonesville , MH 20914"
334,REPORT334,STATUS2,ADDRTYPE1,"69352 Hunter Oval Suite 219
North Benjaminfort, KY 74995",Cycles,5.0,2.0,0.0,3.0,0,1,0,2023-11-24,2023-07-15 03:25:08,Fog/Smog/Smoke,Wet,Dark - No Street Lights,N,N,"69352 Hunter Oval Suite 219 North Benjaminfort , KY 74995"
335,REPORT335,STATUS1,ADDRTYPE2,"706 Byrd Plains Apt. 371
Michellebury, MI 85518",Cycles,5.0,1.0,1.0,2.0,0,1,0,2023-10-28,2023-11-16 03:25:08,Overcast,Standing Water,Dawn,Y,N,"706 Byrd Plains Apt . 371 Michellebury , MI 85518"
336,REPORT336,STATUS1,ADDRTYPE2,"447 Richard Roads
Michaelport, CO 09146",Sideswipe,5.0,2.0,1.0,1.0,2,1,0,2024-01-27,2023-08-20 03:25:08,Fog/Smog/Smoke,Standing Water,Other,N,N,"447 Richard Roads Michaelport , CO 09146"
337,REPORT337,STATUS3,ADDRTYPE3,"33244 Michael Prairie Suite 447
Allenside, OR 57866",Cycles,5.0,2.0,0.0,1.0,2,0,0,2023-05-22,2023-10-17 03:25:08,Blowing Sand/Dirt,Snow/Slush,Dark - Street Lights Off,Y,N,"33244 Michael Prairie Suite 447 Allenside , OR 57866"
338,REPORT338,STATUS3,ADDRTYPE2,"23749 Jon Road Apt. 607
Raymouth, NC 44909",Rear Ended,3.0,0.0,0.0,3.0,3,1,0,2023-10-21,2024-01-13 03:25:08,,,,N,N,"23749 Jon Road Apt . 607 Raymouth , NC 44909"
339,REPORT339,STATUS3,ADDRTYPE3,"030 Ashley Wells
Johnsonhaven, UT 78203",Angles,1.0,2.0,1.0,2.0,3,0,0,2023-09-23,2023-11-01 03:25:08,Snowing,Dry,Unknown,N,N,"030 Ashley Wells Johnsonhaven , UT 78203"
340,REPORT340,STATUS1,ADDRTYPE2,"70729 Padilla Freeway Apt. 189
West Kathrynton, MD 65027",Pedestrian,3.0,0.0,1.0,2.0,0,0,1,2024-01-30,2023-03-20 03:25:08,Clear,Unknown,Dark - Street Lights Off,N,N,"70729 Padilla Freeway Apt . 189 West Kathrynton , MD 65027"
341,REPORT341,STATUS3,ADDRTYPE3,"48937 Taylor Lakes
New Jessicafort, RI 49293",Cycles,2.0,2.0,1.0,2.0,3,1,0,2023-03-29,2023-08-13 03:25:08,Blowing Sand/Dirt,Oil,Dusk,Y,Y,"48937 Taylor Lakes New Jessicafort , RI 49293"
